EmpNo,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Dept,salary
A2532,0.44,0.66,3,162,2,0,0,0,sales,medium
A2533,0.75,0.87,4,193,3,0,0,0,sales,medium
A2534,0.74,0.84,3,239,4,0,0,0,sales,medium
A2535,0.62,0.87,5,149,3,0,0,0,sales,medium
A2536,0.51,0.58,3,155,3,0,0,0,sales,low
A2537,0.61,0.59,5,271,2,0,0,0,sales,low
A2538,0.56,0.49,5,163,3,0,0,0,sales,low
A2539,0.79,0.76,3,160,3,0,0,0,sales,low
A2540,0.68,0.75,6,274,5,0,0,0,sales,low
A2541,0.9,0.84,2,199,3,0,0,0,sales,low
A2542,0.83,0.93,5,241,3,0,0,0,sales,low
A2543,0.94,0.82,3,187,3,0,0,0,sales,low
A2544,0.21,0.65,5,223,3,1,0,0,sales,low
A2545,0.58,0.87,3,268,2,0,0,0,sales,low
A2546,0.52,0.38,6,169,3,0,0,0,accounting,low
A2547,0.18,0.67,5,285,5,0,0,0,accounting,low
A2548,0.94,0.91,5,254,3,0,0,0,accounting,low
A2549,0.69,0.5,3,208,4,0,0,0,hr,low
A2550,0.65,0.83,4,218,3,0,0,0,hr,low
A2551,0.46,0.62,2,187,3,0,0,0,hr,low
A2552,0.72,0.62,4,256,3,0,0,0,hr,low
A2553,0.3,0.37,6,278,3,0,0,0,technical,low
A2554,0.51,0.51,4,204,2,0,0,0,technical,low
A2555,0.43,0.75,3,108,2,0,0,0,technical,low
A2556,0.56,0.94,3,226,2,0,0,0,technical,low
A2557,0.63,0.91,4,246,3,0,0,0,technical,medium
A2558,0.61,0.55,5,260,3,0,0,0,technical,medium
A2559,0.53,0.73,4,248,2,0,0,0,technical,medium
A2560,0.87,0.75,3,132,3,0,0,0,technical,medium
A2561,0.68,0.7,4,185,4,0,0,0,technical,medium
A2562,0.78,0.84,3,269,2,0,0,0,technical,medium
A2563,0.49,0.95,4,156,2,0,0,0,technical,medium
A2564,0.96,0.81,3,212,3,0,0,0,support,medium
A2565,0.83,0.74,3,221,2,0,0,0,support,medium
A2566,0.48,0.67,5,273,3,0,0,0,support,medium
A2567,0.63,0.86,4,271,3,1,0,0,support,medium
A2568,0.87,0.38,4,183,5,0,0,0,support,medium
A2569,0.21,0.9,4,271,6,0,0,0,support,high
A2570,0.79,0.58,5,165,3,0,0,0,support,low
A2571,0.8,0.96,3,257,5,0,0,0,support,medium
A2572,0.78,0.82,4,143,3,0,0,0,support,medium
A2573,0.67,0.65,5,156,2,0,0,0,support,medium
A2574,0.67,0.71,3,190,3,1,0,0,support,medium
A2575,0.26,0.67,2,242,6,0,0,0,technical,low
A2576,0.89,0.83,5,267,4,0,0,0,technical,low
A2577,0.7,0.53,4,152,3,0,0,0,technical,low
A2578,0.51,0.48,5,136,4,0,0,0,management,low
A2579,0.53,0.88,3,157,3,0,0,0,IT,low
A2580,0.76,0.51,4,281,3,0,0,0,IT,low
A2581,0.86,0.93,5,208,2,0,0,0,IT,low
A2582,0.63,0.96,5,152,3,0,0,0,IT,low
A2583,0.58,0.86,5,271,3,0,0,0,IT,low
A2584,0.58,0.83,4,163,3,1,0,0,product_mng,low
A2585,0.9,0.82,4,136,3,0,0,0,product_mng,low
A2586,0.79,0.57,4,233,2,0,0,0,product_mng,low
A2587,0.8,0.74,4,221,4,0,0,0,product_mng,low
A2588,0.53,0.65,2,189,2,1,0,0,IT,low
A2589,0.52,0.84,2,226,3,0,0,0,RandD,low
A2590,0.82,0.59,5,201,3,0,0,0,RandD,low
A2591,0.68,0.9,2,133,4,0,0,0,RandD,low
A2592,0.21,0.61,3,173,2,0,0,0,RandD,low
A2593,0.81,0.5,4,152,3,1,0,0,RandD,low
A2594,0.57,0.9,3,256,4,0,0,0,RandD,low
A2595,0.99,0.72,3,119,2,1,0,0,marketing,low
A2596,0.9,1,4,207,3,0,0,0,sales,medium
A2597,0.76,0.64,3,189,3,0,0,0,accounting,medium
A2598,0.56,0.92,4,172,2,0,0,0,support,medium
A2599,0.5,0.93,6,150,3,1,0,0,technical,medium
A2600,0.48,0.89,5,179,3,0,0,0,management,medium
A2601,0.99,0.97,3,257,2,0,0,0,marketing,medium
A2602,0.76,0.8,5,229,2,0,0,0,marketing,medium
A2603,0.93,0.97,4,227,3,0,0,0,marketing,medium
A2604,0.99,0.78,4,140,3,0,0,0,sales,medium
A2605,0.85,0.78,4,251,3,0,0,0,sales,medium
A2606,0.63,0.95,4,137,3,0,0,0,sales,medium
A2607,0.63,0.78,3,153,3,1,0,0,sales,medium
A2608,0.5,0.65,5,242,3,0,0,0,sales,high
A2609,0.52,0.57,3,150,3,0,0,0,sales,low
A2610,0.63,0.99,3,247,3,0,0,0,sales,medium
A2611,0.78,0.5,4,212,2,0,0,0,sales,medium
A2612,0.98,0.53,3,234,3,0,0,0,sales,medium
A2613,0.14,1,5,174,5,0,0,0,sales,medium
A2614,0.7,0.9,3,225,2,0,0,0,sales,low
A2615,0.88,0.6,4,224,2,0,0,0,sales,low
A2616,0.72,0.62,3,270,4,0,0,0,sales,low
A2617,0.88,0.51,4,139,3,0,0,0,sales,low
A2618,0.71,0.51,3,248,4,0,0,0,sales,low
A2619,0.6,0.85,3,172,2,0,0,0,sales,low
A2620,0.88,0.86,4,224,3,1,0,0,sales,low
A2621,0.55,0.72,5,232,4,0,0,0,sales,low
A2622,0.85,0.55,4,260,2,1,0,0,sales,low
A2623,0.84,0.51,2,117,4,0,0,0,accounting,low
A2624,0.91,0.61,4,243,2,1,0,0,accounting,low
A2625,0.82,0.62,4,202,2,0,0,0,accounting,low
A2626,0.6,0.91,2,168,4,0,0,0,hr,low
A2627,0.89,0.71,5,194,3,0,0,0,hr,low
A2628,0.6,0.97,4,219,4,1,0,0,hr,low
A2629,0.64,0.52,4,207,3,0,0,0,hr,low
A2630,0.93,0.88,4,177,3,0,0,0,technical,low
A2631,0.81,0.99,3,239,2,1,0,0,technical,low
A2632,0.31,0.49,4,165,3,1,0,0,technical,low
A2633,0.68,0.69,4,225,2,0,0,0,technical,low
A2634,0.78,0.59,3,212,2,0,0,0,technical,low
A2635,0.44,0.42,4,159,4,0,0,0,technical,medium
A2636,0.64,0.93,4,233,2,1,0,0,technical,medium
A2637,0.81,0.63,4,108,6,0,0,0,technical,medium
A2638,0.5,0.49,3,214,3,0,0,0,technical,medium
A2639,0.69,0.61,5,229,3,0,0,0,technical,medium
A2640,0.77,0.75,4,223,3,0,0,0,technical,medium
A2641,0.69,0.56,4,178,3,0,0,0,support,medium
A2642,0.87,0.68,4,246,2,0,0,0,support,medium
A2643,0.85,0.91,4,145,3,0,0,0,support,medium
A2644,0.83,0.83,4,224,4,0,0,0,support,medium
A2645,0.68,0.51,3,259,3,0,0,0,support,medium
A2646,0.78,0.65,4,207,2,0,0,0,support,medium
A2647,0.78,0.89,3,253,3,0,0,0,support,high
A2648,0.93,0.68,4,196,2,1,0,0,support,low
A2649,0.54,0.75,3,240,3,0,0,0,support,medium
A2650,0.76,0.56,3,255,3,0,0,0,support,medium
A2651,0.4,0.72,3,139,2,0,0,0,support,medium
A2652,0.73,0.81,3,168,2,0,0,0,technical,medium
A2653,0.86,0.98,5,233,3,0,0,0,technical,low
A2654,0.38,0.68,5,211,6,0,0,0,technical,low
A2655,0.71,0.48,5,114,3,0,0,0,management,low
A2656,0.58,0.97,5,202,2,0,0,0,IT,low
A2657,0.67,0.59,3,177,3,1,0,0,IT,low
A2658,0.55,0.76,4,233,4,0,0,0,IT,low
A2659,0.76,0.98,2,111,2,0,0,0,IT,low
A2660,0.7,0.82,3,178,3,0,0,0,IT,low
A2661,0.66,0.46,4,204,4,0,0,0,product_mng,low
A2662,0.96,0.72,3,272,3,0,0,0,product_mng,low
A2663,0.6,0.77,4,157,4,0,0,0,product_mng,low
A2664,0.54,0.94,5,229,3,1,0,0,product_mng,low
A2665,0.85,0.9,5,202,3,0,0,0,IT,low
A2666,0.96,0.84,3,264,3,0,0,0,RandD,low
A2667,0.86,0.62,3,256,3,1,0,0,RandD,low
A2668,0.53,0.87,3,151,2,0,0,0,RandD,low
A2669,0.91,0.95,3,251,3,0,0,0,RandD,low
A2670,0.33,0.7,5,271,4,0,0,0,RandD,low
A2671,0.75,0.73,4,274,2,0,0,0,RandD,low
A2672,0.97,0.8,3,169,3,0,0,0,marketing,low
A2673,0.68,0.51,4,176,4,1,0,0,sales,low
A2674,0.68,0.7,5,168,2,0,0,0,accounting,medium
A2675,0.57,0.87,4,171,2,0,0,0,support,medium
A2676,0.87,0.9,4,214,3,0,0,0,technical,medium
A2677,0.5,0.91,5,224,2,1,0,0,management,medium
A2678,0.76,0.59,3,191,4,0,0,0,marketing,medium
A2679,0.79,0.61,5,96,4,0,0,0,marketing,medium
A2680,0.17,0.9,6,217,6,1,0,0,marketing,medium
A2681,0.6,0.62,4,135,2,1,0,0,sales,medium
A2682,0.89,0.67,3,226,3,0,0,0,sales,medium
A2683,0.69,0.87,3,202,2,0,0,0,sales,medium
A2684,0.68,0.85,2,180,6,0,0,0,sales,medium
A2685,0.61,0.87,5,174,4,0,0,0,sales,medium
A2686,0.63,0.5,3,140,2,0,0,0,sales,high
A2687,0.5,0.96,4,147,3,0,0,0,sales,low
A2688,0.49,0.74,2,263,3,1,0,0,sales,medium
A2689,0.83,0.55,5,261,5,0,0,0,sales,medium
A2690,0.59,0.71,2,176,2,1,0,0,sales,medium
A2691,0.75,0.93,2,98,5,0,0,0,sales,medium
A2692,0.66,0.48,3,192,3,1,0,0,sales,low
A2693,0.68,0.51,4,157,3,0,0,0,sales,low
A2694,0.73,0.58,5,230,3,0,0,0,sales,low
A2695,0.98,0.53,4,192,2,1,0,0,sales,low
A2696,0.86,0.65,3,161,3,0,0,0,sales,low
A2697,0.5,0.55,3,176,3,0,0,0,sales,low
A2698,0.76,0.76,3,216,3,0,0,0,sales,low
A2699,0.3,0.47,4,176,2,0,0,0,sales,low
A2700,0.3,0.86,3,276,5,1,0,0,accounting,low
A2701,0.64,0.59,3,174,3,1,0,0,accounting,low
A2702,0.59,0.75,3,106,2,0,0,0,accounting,low
A2703,0.85,0.63,4,154,3,0,0,0,hr,low
A2704,0.76,0.93,3,271,5,0,0,0,hr,low
A2705,0.63,0.5,5,246,2,0,0,0,hr,low
A2706,0.65,0.86,4,264,2,1,0,0,hr,low
A2707,0.43,0.68,3,197,2,0,0,0,technical,low
A2708,0.83,0.56,4,165,2,0,0,0,technical,low
A2709,0.49,0.77,4,218,2,0,0,0,technical,low
A2710,0.67,0.73,3,203,2,0,0,0,technical,low
A2711,0.9,0.47,2,107,6,1,0,0,technical,low
A2712,0.83,0.96,3,179,2,0,0,0,technical,low
A2713,0.92,0.84,5,264,3,0,0,0,technical,medium
A2714,0.83,0.7,5,154,3,0,0,0,technical,medium
A2715,0.64,0.55,4,167,3,1,0,0,technical,medium
A2716,0.93,0.97,4,158,3,1,0,0,technical,medium
A2717,0.6,0.87,4,227,3,1,0,0,technical,medium
A2718,0.74,0.69,3,230,2,0,0,0,support,medium
A2719,0.56,0.75,5,143,5,0,0,0,support,medium
A2720,0.61,0.77,4,142,3,0,0,0,support,medium
A2721,0.63,0.62,4,184,4,0,0,0,support,medium
A2722,0.24,0.62,5,169,4,0,0,0,support,medium
A2723,0.17,0.56,5,218,4,1,0,0,support,medium
A2724,0.46,0.64,2,121,3,0,0,0,support,medium
A2725,0.68,0.48,4,251,4,0,0,0,support,high
A2726,0.68,0.6,2,192,6,0,0,0,support,low
A2727,0.16,0.71,6,227,5,0,0,0,support,medium
A2728,0.15,0.56,6,140,5,0,0,0,support,medium
A2729,0.55,0.49,3,152,2,0,0,0,technical,medium
A2730,0.72,0.66,4,202,4,0,0,0,technical,medium
A2731,0.91,0.89,2,219,4,0,0,0,technical,low
A2732,0.3,0.91,4,248,4,0,0,0,management,low
A2733,0.56,0.68,5,203,2,0,0,0,IT,low
A2734,0.94,0.94,3,255,3,0,0,0,IT,low
A2735,0.82,0.63,5,177,3,0,0,0,IT,low
A2736,0.66,0.86,5,185,3,0,0,0,IT,low
A2737,0.74,0.64,4,101,6,1,0,0,IT,low
A2738,0.63,0.5,3,246,3,0,0,0,product_mng,low
A2739,0.65,0.42,6,220,2,0,0,0,product_mng,low
A2740,0.56,0.81,3,145,2,0,0,0,product_mng,low
A2741,0.32,0.73,6,194,5,0,0,0,product_mng,low
A2742,0.8,0.9,4,241,2,0,0,0,IT,low
A2743,0.34,0.87,6,175,4,0,0,0,RandD,low
A2744,0.62,0.71,5,149,2,0,0,0,RandD,low
A2745,0.5,0.86,3,253,2,0,0,0,RandD,low
A2746,0.58,0.98,5,218,3,0,0,0,RandD,low
A2747,0.94,0.9,2,263,3,0,0,0,RandD,low
A2748,0.67,0.99,4,247,3,1,0,0,RandD,low
A2749,0.2,0.74,6,148,4,0,0,0,marketing,low
A2750,0.91,0.59,5,162,2,0,0,0,sales,low
A2751,0.91,0.67,2,255,4,0,0,0,accounting,low
A2752,0.78,0.87,3,191,3,1,0,0,support,medium
A2753,0.82,0.55,3,217,4,1,0,0,technical,medium
A2754,0.54,0.96,3,201,3,0,0,0,management,medium
A2755,0.53,0.81,3,253,3,0,0,0,marketing,medium
A2756,0.47,0.55,4,122,5,1,0,0,marketing,medium
A2757,0.87,0.5,3,269,3,0,0,0,marketing,medium
A2758,0.5,0.68,4,161,3,0,0,0,sales,medium
A2759,0.59,0.83,3,156,2,0,0,0,sales,medium
A2760,0.89,0.69,3,173,3,0,0,0,sales,medium
A2761,0.54,0.49,4,152,3,1,0,0,sales,medium
A2762,0.62,0.85,3,145,3,0,0,0,sales,medium
A2763,0.91,0.85,3,248,3,0,0,0,sales,medium
A2764,0.84,0.99,2,184,2,0,0,0,sales,high
A2765,0.69,0.65,4,232,2,1,0,0,sales,low
A2766,0.76,0.63,3,162,2,0,0,0,sales,medium
A2767,0.8,0.54,4,269,3,0,0,0,sales,medium
A2768,0.4,0.47,5,108,3,0,0,0,sales,medium
A2769,0.8,0.99,3,248,3,1,0,0,sales,medium
A2770,0.76,0.4,2,122,5,0,0,0,sales,low
A2771,0.55,0.9,4,273,2,1,0,0,sales,low
A2772,0.98,0.63,3,285,6,0,0,0,sales,low
A2773,0.54,0.56,4,227,3,0,0,0,sales,low
A2774,0.63,0.56,4,248,2,1,0,0,sales,low
A2775,0.88,0.63,3,257,3,0,0,0,sales,low
A2776,0.5,0.95,5,194,3,0,0,0,sales,low
A2777,0.52,0.72,3,253,3,0,0,0,accounting,low
A2778,0.89,0.95,4,141,3,0,0,0,accounting,low
A2779,0.55,0.9,4,199,3,0,0,0,accounting,low
A2780,0.51,0.81,3,143,2,0,0,0,hr,low
A2781,0.35,0.52,5,244,3,0,0,0,hr,low
A2782,0.54,0.71,5,173,2,0,0,0,hr,low
A2783,0.72,0.84,4,186,3,0,0,0,hr,low
A2784,0.61,0.93,2,247,3,0,0,0,technical,low
A2785,0.17,0.93,3,218,4,0,0,0,technical,low
A2786,0.71,0.88,3,140,2,0,0,0,technical,low
A2787,0.88,0.52,4,166,2,0,0,0,technical,low
A2788,0.48,1,3,216,2,0,0,0,technical,low
A2789,0.16,0.97,6,235,3,0,0,0,technical,low
A2790,0.62,0.72,3,188,3,0,0,0,technical,low
A2791,0.59,0.47,3,143,2,0,0,0,technical,medium
A2792,0.14,0.9,4,198,4,0,0,0,technical,medium
A2793,0.96,0.92,4,148,3,0,0,0,technical,medium
A2794,0.96,0.42,6,101,4,0,0,0,technical,medium
A2795,0.13,0.89,4,249,6,1,0,0,support,medium
A2796,0.64,0.61,5,249,3,1,0,0,support,medium
A2797,0.64,0.67,5,198,2,1,0,0,support,medium
A2798,0.57,0.72,3,202,3,1,0,0,support,medium
A2799,0.49,1,3,176,3,0,0,0,support,medium
A2800,0.89,0.79,4,133,2,0,0,0,support,medium
A2801,0.94,0.75,5,238,2,0,0,0,support,medium
A2802,0.51,0.58,2,181,4,0,0,0,support,medium
A2803,0.8,0.85,5,242,3,0,0,0,support,high
A2804,0.74,0.51,4,185,2,1,0,0,support,low
A2805,0.66,0.85,4,237,3,1,0,0,support,medium
A2806,0.66,0.99,5,244,3,0,0,0,technical,medium
A2807,0.59,0.62,3,178,4,0,0,0,technical,medium
A2808,0.91,0.57,3,164,3,0,0,0,technical,medium
A2809,0.83,0.98,5,189,4,1,0,0,management,low
A2810,0.5,0.91,3,212,2,0,0,0,IT,low
A2811,0.69,0.97,4,233,3,0,0,0,IT,low
A2812,0.87,0.91,5,268,3,0,0,0,IT,low
A2813,0.37,0.43,2,155,2,0,0,0,IT,low
A2814,0.9,0.98,4,257,3,0,0,0,IT,low
A2815,0.68,0.41,4,254,5,0,0,0,product_mng,low
A2816,0.93,0.63,4,143,3,1,0,0,product_mng,low
A2817,0.95,0.45,3,225,2,0,0,0,product_mng,low
A2818,0.99,1,4,223,2,1,0,0,product_mng,low
A2819,0.64,0.9,2,101,6,0,0,0,IT,low
A2820,0.96,0.37,2,159,6,0,0,0,RandD,low
A2821,0.92,0.54,5,141,2,0,0,0,RandD,low
A2822,0.22,0.52,5,147,5,1,0,0,RandD,low
A2823,0.82,0.99,5,252,3,1,0,0,RandD,low
A2824,0.75,0.89,3,196,3,0,0,0,RandD,low
A2825,0.2,0.89,6,244,3,0,0,0,RandD,low
A2826,0.64,0.73,3,142,3,0,0,0,marketing,low
A2827,0.62,0.9,4,155,4,0,0,0,sales,low
A2828,0.73,0.59,3,219,2,0,0,0,accounting,low
A2829,0.52,0.51,3,213,4,0,0,0,support,low
A2830,0.63,0.67,5,263,3,0,0,0,technical,medium
A2831,0.84,0.92,4,274,3,0,0,0,management,medium
A2832,0.49,0.96,3,140,3,0,0,0,marketing,medium
A2833,0.54,0.78,4,176,2,0,0,0,marketing,medium
A2834,0.52,0.78,4,206,2,0,0,0,marketing,medium
A2835,0.66,0.63,6,223,6,0,0,0,sales,medium
A2836,0.73,0.41,2,231,6,1,0,0,sales,medium
A2837,0.54,0.64,3,250,3,0,0,0,sales,medium
A2838,0.72,0.68,5,266,4,0,0,0,sales,medium
A2839,0.75,0.64,4,247,3,1,0,0,sales,medium
A2840,0.77,0.57,3,189,2,0,0,0,sales,medium
A2841,0.42,0.94,5,227,5,0,0,0,sales,medium
A2842,0.13,0.69,4,127,4,0,0,0,sales,high
A2843,0.73,0.88,5,204,5,0,0,0,sales,low
A2844,0.5,0.95,5,137,3,0,0,0,sales,medium
A2845,0.92,0.62,4,265,3,1,0,0,sales,medium
A2846,0.73,0.66,3,135,2,0,0,0,sales,medium
A2847,0.74,0.38,2,126,3,0,0,0,sales,medium
A2848,0.76,0.78,3,189,2,0,0,0,sales,low
A2849,0.53,0.92,3,207,4,1,0,0,sales,low
A2850,0.65,0.72,3,134,3,0,0,0,sales,low
A2851,0.91,0.85,4,203,2,0,0,0,sales,low
A2852,0.69,0.76,5,222,3,1,0,0,sales,low
A2853,0.56,0.66,3,232,2,0,0,0,sales,low
A2854,0.55,0.81,4,267,5,0,0,0,accounting,low
A2855,0.74,0.5,5,131,3,0,0,0,accounting,low
A2856,0.86,0.86,3,155,4,0,0,0,accounting,low
A2857,0.82,0.74,3,232,3,0,0,0,hr,low
A2858,0.35,0.8,3,137,5,0,0,0,hr,low
A2859,0.93,0.99,4,136,4,0,0,0,hr,low
A2860,0.55,0.77,3,237,2,0,0,0,hr,low
A2861,0.99,0.68,4,190,3,0,0,0,technical,low
A2862,0.91,0.89,4,144,3,1,0,0,technical,low
A2863,0.24,0.65,6,194,3,0,0,0,technical,low
A2864,0.77,0.67,3,186,2,0,0,0,technical,low
A2865,0.64,0.66,3,218,3,0,0,0,technical,low
A2866,0.58,0.76,5,260,2,1,0,0,technical,low
A2867,0.65,0.99,4,200,4,0,0,0,technical,low
A2868,0.44,0.68,3,140,3,0,0,0,technical,low
A2869,0.59,0.75,2,156,3,0,0,0,technical,medium
A2870,0.99,0.56,3,193,3,1,0,0,technical,medium
A2871,0.75,0.79,4,145,3,0,0,0,technical,medium
A2872,0.77,0.49,4,217,2,0,0,0,support,medium
A2873,0.85,0.64,4,162,3,0,0,0,support,medium
A2874,0.77,0.93,5,182,4,0,0,0,support,medium
A2875,0.54,0.95,3,221,3,0,0,0,support,medium
A2876,0.69,0.82,4,208,2,0,0,0,support,medium
A2877,0.66,0.65,5,161,3,0,0,0,support,medium
A2878,0.51,0.65,4,269,3,0,0,0,support,medium
A2879,0.74,0.59,4,155,3,0,0,0,support,medium
A2880,0.55,0.72,3,110,3,0,0,0,support,medium
A2881,0.65,0.84,3,154,3,0,0,0,support,high
A2882,0.2,0.77,6,213,4,0,0,0,support,low
A2883,0.92,0.94,5,248,3,0,0,0,technical,medium
A2884,0.57,0.6,3,202,3,0,0,0,technical,medium
A2885,0.75,0.78,2,251,6,0,0,0,technical,medium
A2886,0.68,0.84,3,239,2,0,0,0,management,medium
A2887,0.97,0.7,3,203,3,0,0,0,IT,low
A2888,0.79,0.48,4,184,5,1,0,0,IT,low
A2889,0.66,0.75,4,203,3,1,0,0,IT,low
A2890,0.96,0.69,3,214,2,1,0,0,IT,low
A2891,0.73,0.69,4,161,3,0,0,0,IT,low
A2892,0.29,0.58,5,234,2,0,0,0,product_mng,low
A2893,0.58,0.56,3,151,2,0,0,0,product_mng,low
A2894,0.72,0.58,4,149,3,0,0,0,product_mng,low
A2895,0.94,0.87,4,240,3,0,0,0,product_mng,low
A2896,0.48,0.56,5,140,2,0,0,0,IT,low
A2897,0.6,0.99,3,187,2,0,0,0,RandD,low
A2898,0.97,0.58,5,156,2,1,0,0,RandD,low
A2899,0.74,0.41,4,250,4,0,0,0,RandD,low
A2900,0.97,0.61,3,165,2,0,0,0,RandD,low
A2901,0.88,0.67,5,260,3,1,0,0,RandD,low
A2902,0.5,0.7,3,274,3,0,0,0,marketing,low
A2903,0.93,0.98,4,160,3,0,0,0,sales,low
A2904,0.3,0.7,5,280,4,1,0,0,accounting,low
A2905,0.69,0.53,3,142,3,0,0,0,support,low
A2906,0.69,0.9,2,155,2,0,0,0,technical,low
A2907,0.53,0.67,4,167,2,0,0,0,management,low
A2908,0.32,0.8,3,263,3,0,0,0,marketing,medium
A2909,0.73,0.75,3,259,4,0,0,0,marketing,medium
A2910,0.77,0.61,4,223,3,0,0,0,marketing,medium
A2911,0.59,0.81,6,123,5,0,0,0,sales,medium
A2912,0.19,0.51,5,226,3,0,0,0,sales,medium
A2913,0.78,0.95,3,270,2,0,0,0,sales,medium
A2914,0.84,0.74,3,139,3,0,0,0,sales,medium
A2915,0.65,0.77,5,241,2,0,0,0,sales,medium
A2916,0.38,0.43,2,160,6,0,0,0,sales,medium
A2917,0.12,0.47,3,258,5,0,0,0,sales,medium
A2918,0.74,0.81,5,106,5,0,0,0,sales,medium
A2919,0.67,0.82,4,171,2,0,0,0,sales,medium
A2920,0.5,0.79,3,186,3,0,0,0,sales,high
A2921,0.99,0.39,6,214,5,1,0,0,sales,low
A2922,0.79,0.89,4,240,3,0,0,0,sales,medium
A2923,0.72,0.51,4,164,3,0,0,0,sales,medium
A2924,0.83,0.57,4,232,3,0,0,0,sales,medium
A2925,0.69,0.55,5,242,2,0,0,0,sales,medium
A2926,0.5,0.89,5,222,3,0,0,0,sales,low
A2927,0.82,0.84,3,139,2,1,0,0,sales,low
A2928,0.68,0.56,4,272,3,0,0,0,sales,low
A2929,0.82,0.69,4,262,2,0,0,0,sales,low
A2930,0.32,0.81,2,249,3,0,0,0,accounting,low
A2931,0.93,0.86,4,219,3,0,0,0,accounting,low
A2932,0.42,0.73,4,208,5,0,0,0,accounting,low
A2933,0.22,0.44,3,166,6,0,0,0,hr,low
A2934,0.56,0.88,3,174,3,0,0,0,hr,low
A2935,0.77,0.75,4,225,3,0,0,0,hr,low
A2936,0.29,0.48,2,116,6,1,0,0,hr,low
A2937,0.97,0.65,3,219,2,0,0,0,technical,low
A2938,0.91,0.7,4,196,2,0,0,0,technical,low
A2939,0.52,0.67,4,210,3,1,0,0,technical,low
A2940,0.54,0.64,2,219,3,0,0,0,technical,low
A2941,0.54,0.98,3,197,3,0,0,0,technical,low
A2942,0.67,0.52,2,102,6,0,0,0,technical,low
A2943,0.72,0.85,3,186,4,0,0,0,technical,low
A2944,0.68,0.51,4,224,2,0,0,0,technical,low
A2945,0.65,0.98,3,283,2,1,0,0,technical,low
A2946,0.72,0.98,5,197,4,0,0,0,technical,low
A2947,0.51,0.79,5,267,3,0,0,0,technical,medium
A2948,0.8,0.58,4,172,3,0,0,0,support,medium
A2949,0.83,0.93,4,261,2,0,0,0,support,medium
A2950,0.15,0.86,3,204,4,0,0,0,support,medium
A2951,0.5,0.73,4,237,2,0,0,0,support,medium
A2952,0.8,0.55,2,212,3,0,0,0,support,medium
A2953,0.96,0.62,4,217,2,0,0,0,support,medium
A2954,0.67,0.7,5,159,3,1,0,0,support,medium
A2955,0.98,0.96,5,139,3,0,0,0,support,medium
A2956,0.88,0.59,5,230,3,0,0,0,support,medium
A2957,0.85,0.79,3,157,4,0,0,0,support,medium
A2958,0.75,0.7,5,269,3,0,0,0,support,medium
A2959,0.38,0.77,2,170,3,0,0,0,technical,high
A2960,0.55,0.82,2,197,4,0,0,0,technical,low
A2961,0.63,0.89,4,246,3,0,0,0,technical,medium
A2962,0.78,0.51,4,278,3,0,0,0,management,medium
A2963,0.99,0.84,5,138,2,0,0,0,IT,medium
A2964,0.72,0.87,3,238,3,0,0,0,IT,medium
A2965,0.14,0.83,5,175,6,1,0,0,IT,low
A2966,0.81,0.67,4,216,3,0,0,0,IT,low
A2967,0.73,0.86,4,196,4,1,0,0,IT,low
A2968,0.58,0.8,5,187,3,1,0,0,product_mng,low
A2969,0.24,0.85,4,155,5,0,0,0,product_mng,low
A2970,0.31,0.86,3,205,5,0,0,0,product_mng,low
A2971,0.74,0.63,3,230,2,0,0,0,product_mng,low
A2972,0.86,0.69,5,157,3,0,0,0,IT,low
A2973,0.22,0.8,4,287,4,0,0,0,RandD,low
A2974,0.66,0.7,4,161,3,0,0,0,RandD,low
A2975,0.21,0.76,5,239,2,0,0,0,RandD,low
A2976,0.95,0.61,3,267,2,0,0,0,RandD,low
A2977,0.24,0.55,5,208,5,0,0,0,RandD,low
A2978,0.66,0.95,3,133,3,0,0,0,marketing,low
A2979,0.88,0.86,3,187,3,0,0,0,marketing,low
A2980,0.67,0.61,4,140,2,0,0,0,sales,low
A2981,0.75,0.58,4,270,3,0,0,0,accounting,low
A2982,0.93,0.48,3,147,3,0,0,0,support,low
A2983,0.64,0.71,3,181,2,0,0,0,technical,low
A2984,0.51,0.53,3,156,3,0,0,0,management,low
A2985,0.98,0.5,4,207,3,0,0,0,marketing,low
A2986,0.72,0.63,4,241,4,1,0,0,marketing,medium
A2987,0.51,0.75,4,154,3,0,0,0,marketing,medium
A2988,0.54,0.58,4,206,3,0,0,0,sales,medium
A2989,0.99,0.76,4,204,2,0,0,0,sales,medium
A2990,0.44,0.9,4,117,3,0,0,0,sales,medium
A2991,0.74,0.48,5,144,3,0,0,0,sales,medium
A2992,0.9,0.77,3,156,3,0,0,0,sales,medium
A2993,0.86,0.58,4,211,4,0,0,0,sales,medium
A2994,0.66,0.52,3,149,4,1,0,0,sales,medium
A2995,0.64,0.96,4,152,5,0,0,0,sales,medium
A2996,0.5,0.59,4,192,2,0,0,0,sales,medium
A2997,0.88,0.68,4,274,4,0,0,0,sales,medium
A2998,0.72,0.47,5,168,6,0,0,0,sales,high
A2999,0.53,0.53,4,205,3,0,0,0,sales,low
A3000,0.83,0.77,3,228,3,0,0,0,sales,medium
A3001,0.24,0.52,4,228,5,0,0,0,sales,medium
A3002,0.66,0.75,5,227,3,1,0,0,sales,medium
A3003,0.43,0.63,3,156,3,0,0,0,sales,medium
